Altium Designer Pick and Place Locations
C:\applications\hardware\pca10171\trunk\production_files\400797_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       26/11/24
Time:       16:51
Revision:   35565
Variant:    Release
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C25","100nF","TopLayer","CAPC0603X03L_C","20.3500","28.3340","0","Capacitor, X5R, ±10%"
"C38","4.7µF","TopLayer","CAPC1608X06L","20.6250","34.5140","90","Capacitor, Ceramic, X5R, ±10%, 10V"
"C35","1.0µF","TopLayer","CAPC1005X04L","22.0750","34.2840","270","Capacitor, Ceramic, X5R, ±10%, 10V"
"C36","1.0µF","TopLayer","CAPC1005X04L","24.1750","34.2640","0","Capacitor, Ceramic, X5R, ±10%, 10V"
"C29","1.0µF","TopLayer","CAPC1005X04L","28.4500","33.4840","0","Capacitor, Ceramic, X5R, ±10%, 10V"
"X1","32MHz","TopLayer","BT-XTAL_2016","32.0500","32.3134","90","XTAL SMD 2016, 32MHz, Cl=8pF, Tot: ±40ppm"
"C39","100nF","TopLayer","CAPC0603X03L_C","26.4440","32.7590","0","Capacitor, X5R, ±10%"
"C30","2.2nF","TopLayer","CAPC0603X03L_C","30.0500","30.0340","270","Capacitor, X7R, ±10%, 10V"
"C24","100nF","TopLayer","CAPC0603X03L_C","20.6250","30.7090","90","Capacitor, X5R, ±10%"
"C40","1.0µF","TopLayer","CAPC1005X04L","23.8250","33.3890","0","Capacitor, Ceramic, X5R, ±10%, 10V"
"C28","1.0µF","TopLayer","CAPC1005X04L","26.4750","33.4840","0","Capacitor, Ceramic, X5R, ±10%, 10V"
"C37","4.7µF","TopLayer","CAPC1608X06L","19.5000","34.5140","90","Capacitor, Ceramic, X5R, ±10%, 10V"
"C26","100nF","TopLayer","CAPC0603X03L_C","20.3500","25.9590","180","Capacitor, X5R, ±10%"
"C27","100nF","TopLayer","CAPC0603X03L_C","23.8266","23.5840","90","Capacitor, X5R, ±10%"
"C34","100nF","TopLayer","CAPC0603X03L_C","29.5750","32.5753","0","Capacitor, X5R, ±10%"
"R11","150R","TopLayer","RESC0603X03L_C","29.7750","27.5500","0","Resistor, ±1%, 0.05W"
"R15","150R","TopLayer","RESC0603X03L_C","24.5000","21.5840","270","Resistor, ±1%, 0.05W"
"R12","150R","TopLayer","RESC0603X03L_C","26.8500","21.5840","270","Resistor, ±1%, 0.05W"
"R16","150R","TopLayer","RESC0603X03L_C","25.1751","21.5840","270","Resistor, ±1%, 0.05W"
"R28","150R","TopLayer","RESC0603X03L_C","23.6500","35.4090","90","Resistor, ±1%, 0.05W"
"R29","150R","TopLayer","RESC0603X03L_C","24.2500","35.4090","90","Resistor, ±1%, 0.05W"
"R30","150R","TopLayer","RESC0603X03L_C","25.4500","35.4090","90","Resistor, ±1%, 0.05W"
"R25","150R","TopLayer","RESC0603X03L_C","30.3750","24.8590","0","Resistor, ±1%, 0.05W"
"R26","150R","TopLayer","RESC0603X03L_C","30.3750","24.2590","0","Resistor, ±1%, 0.05W"
"R27","150R","TopLayer","RESC0603X03L_C","30.3750","23.3590","0","Resistor, ±1%, 0.05W"
"R67","1M0","TopLayer","RESC0603X03L_C","33.6750","38.7000","270","Resistor, ±1%, 0.05W"
"R19","150R","TopLayer","RESC0603X03L_C","18.9750","29.8590","180","Resistor, ±1%, 0.05W"
"R20","150R","TopLayer","RESC0603X03L_C","18.9750","29.2590","180","Resistor, ±1%, 0.05W"
"R22","150R","TopLayer","RESC0603X03L_C","19.0750","26.6840","180","Resistor, ±1%, 0.05W"
"C33","100nF","TopLayer","CAPC0603X03L_C","29.2250","31.2340","90","Capacitor, X5R, ±10%"
"R70","5k1","TopLayer","RESC0603X03L_C","10.4000","30.0000","180","Resistor, ±1%, 0.05W"
"J6","USB-C 2.0","TopLayer","SD-80259-001","6.6000","31.7050","270","USB-C Receptacle, 16 Pin, USB 2.0"
"C51","100nF","TopLayer","CAPC0603X03L_C","10.4250","27.0500","270","Capacitor, X5R, ±10%"
"C50","10nF","TopLayer","CAPC0603X03L_C","10.4250","28.1500","90","Capacitor, X7R, ±10%"
"R71","5k1","TopLayer","RESC0603X03L_C","10.4000","33.5000","180","Resistor, ±1%, 0.05W"
"FB2","120R/0.9A","TopLayer","INDC0603X03L_C","11.3001","27.8999","270","Ferrite Bead, 120 Ohm @ 100MHz, 900mA, 160 mOhm Max"
"R35","100k","TopLayer","RESC0603X03L_C","85.6528","34.6710","180","Resistor, ±1%, 0.05W"
"R2","1k","TopLayer","RESC0603X03L_C","115.2000","26.7000","270","Resistor, ±1%, 0.05W"
"C2","1.0µF","TopLayer","CAPC0603X03L_C","111.5500","32.4250","90","Capacitor, X5R, ±20%, 10V"
"C4","100nF","TopLayer","CAPC0603X03L_C","125.4000","32.5000","90","Capacitor, X5R, ±10%"
"C10","100nF","TopLayer","CAPC0603X03L_C","115.8000","26.7000","90","Capacitor, X5R, ±10%"
"C1","1.0µF","TopLayer","CAPC0603X03L_C","114.1904","24.1000","90","Capacitor, X5R, ±20%, 10V"
"C3","10µF","TopLayer","CAPC1608X06L","115.2000","20.7000","270","Capacitor, Ceramic, 10µF 10V X6S 0603,±20%"
"Q1","DMC2400UV","TopLayer","SOTFL50P162X60-6N","110.2650","15.1750","180","Dual N & P Ch MOFET, 1.03A/0.7A, 480mOhm, 450mW"
"R10","100k","TopLayer","RESC0603X03L_C","108.7150","15.4000","90","Resistor, ±1%, 0.05W"
"R8","10k","TopLayer","RESC0603X03L_C","109.5400","16.5000","0","Resistor, ±1%, 0.05W"
"Y2","Shunt 2.54mm","TopLayer","Shunt_2.54mm_Horizontal","-61.9823","-77.1166","0","Shunt Jumper 2.54mm Black"
"U7_S8","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","85.2000","36.8750","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"R38","1M0","TopLayer","RESC0603X03L_C","87.0028","36.9460","270","Resistor, ±1%, 0.05W"
"C52_S8","100nF","TopLayer","CAPC0603X03L_C","84.5528","34.6710","180","Capacitor, X5R, ±10%"
"SB12","Solderbridge","TopLayer","Solderbridge","106.0000","13.9746","180","Solderbridge"
"P30","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","106.0000","9.5520","0","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"C42","100nF","TopLayer","CAPC0603X03L_C","75.4500","42.0500","270","Capacitor, X5R, ±10%"
"A2","DSGP.1575.18","TopLayer","DSGP.1575.18.4.C.02","122.9000","43.0000","90","18 x 18 mm Low Profile GPS L1 / GALILEO E1 Passive Patch Antenna"
"Y1","Shunt 2.54mm","TopLayer","Shunt_2.54mm_Horizontal","-61.9823","-77.1166","270","Shunt Jumper 2.54mm Black"
"SB20","Solderbridge","TopLayer","Solderbridge","73.6600","42.2050","90","Solderbridge"
"R68","1k87","TopLayer","RESC0603X03L_C","49.2760","41.1750","90","Resistor, ±1%, 0.05W"
"TP16","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","29.1084","15.3857","90","1.5mm circular SMD testpad"
"TP22","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","2.9210","15.7180","90","1.5mm circular SMD testpad"
"TP18","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","6.9850","25.1020","180","1.5mm circular SMD testpad"
"Fid3","Fiducial mark","TopLayer","Fiducial","13.2080","2.7950","0","Fiducial Mark"
"SW6","Switch","TopLayer","JS102011JAQN","6.3500","4.8350","0","SMD slide Switch (ON-ON)"
"R47","1M0","TopLayer","RESC0603X03L_C","100.8250","35.7750","90","Resistor, ±1%, 0.05W"
"U8_S7","NX3DV2567","TopLayer","XQFN40P180X260X50-16N","99.0000","32.3500","180","Low-ohmic four-pole double-throw analog switch"
"U5","PCAL6408A","TopLayer","XQFN40P180X260X50-16N","103.4096","32.3500","180","8-bit I2C-bus I/O expander with interrupt output"
"R61","18k","TopLayer","RESC0603X03L_C","106.1140","34.0010","0","Resistor, ±1%, 0.05W"
"R57","18k","TopLayer","RESC0603X03L_C","106.1140","32.5278","0","Resistor, ±1%, 0.05W"
"R58","0R","TopLayer","RESC0603X03L_C","104.0954","29.9116","270","Resistor, ±5%, 0.05W"
"R55","18k","TopLayer","RESC0603X03L_C","106.1140","31.0546","0","Resistor, ±1%, 0.05W"
"R53","18k","TopLayer","RESC0603X03L_C","106.1140","29.5814","0","Resistor, ±1%, 0.05W"
"R60","100k","TopLayer","RESC0603X03L_C","107.0476","34.6106","90","Resistor, ±1%, 0.05W"
"R56","100k","TopLayer","RESC0603X03L_C","107.0476","33.1374","90","Resistor, ±1%, 0.05W"
"R54","100k","TopLayer","RESC0603X03L_C","107.0476","31.6642","90","Resistor, ±1%, 0.05W"
"R52","100k","TopLayer","RESC0603X03L_C","107.0476","30.1910","90","Resistor, ±1%, 0.05W"
"R51","12k","TopLayer","RESC0603X03L_C","104.6796","29.9116","270","Resistor, ±1%, 0.05W"
"R50","12k","TopLayer","RESC0603X03L_C","101.4030","32.1976","0","Resistor, ±1%, 0.05W"
"R49","4k7","TopLayer","RESC0603X03L_C","101.4030","31.3848","0","Resistor, ±1%, 0.05W"
"R48","4k7","TopLayer","RESC0603X03L_C","101.4030","30.5720","0","Resistor, ±1%, 0.05W"
"D4","CFSH05-20L","TopLayer","SODFL35X40-2N","106.1140","34.7376","180","DIODE SCHOTTKY 20V 500MA SOD882"
"D3","CFSH05-20L","TopLayer","SODFL35X40-2N","106.1140","33.2644","180","DIODE SCHOTTKY 20V 500MA SOD882"
"D2","CFSH05-20L","TopLayer","SODFL35X40-2N","106.1140","31.7912","180","DIODE SCHOTTKY 20V 500MA SOD882"
"D1","CFSH05-20L","TopLayer","SODFL35X40-2N","106.1140","30.3180","180","DIODE SCHOTTKY 20V 500MA SOD882"
"C44","1.0µF","TopLayer","CAPC0603X03L_C","105.1742","30.1910","270","Capacitor, X5R, ±10%"
"C45","1.0µF","TopLayer","CAPC0603X03L_C","105.1742","31.6642","90","Capacitor, X5R, ±10%"
"C46","1.0µF","TopLayer","CAPC0603X03L_C","105.1742","33.1374","90","Capacitor, X5R, ±10%"
"C47","1.0µF","TopLayer","CAPC0603X03L_C","105.1742","34.6106","90","Capacitor, X5R, ±10%"
"C43","100nF","TopLayer","CAPC0603X03L_C","102.9270","29.9116","90","Capacitor, X5R, ±10%"
"C53_S7","100nF","TopLayer","CAPC0603X03L_C","99.1968","30.1918","0","Capacitor, X5R, ±10%"
"R7","1M0","TopLayer","RESC0603X03L_C","138.2500","39.1720","270","Resistor, ±1%, 0.05W"
"C17","100pF","TopLayer","CAPC0603X03L_C","137.1000","39.8000","270","Capacitor, NP0, ±2%, 25V"
"R4","0R","TopLayer","RESC1005X04L","133.0002","41.5999","90","Resistor, ±5%, 0.063W"
"TP9","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","43.1800","16.5100","0","1.5mm circular SMD testpad"
"TP10","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","45.7200","16.5100","0","1.5mm circular SMD testpad"
"R46","1M0","TopLayer","RESC0603X03L_C","106.4450","53.3500","0","Resistor, ±1%, 0.05W"
"R45","1M0","TopLayer","RESC0603X03L_C","107.5626","53.3500","180","Resistor, ±1%, 0.05W"
"R44","1M0","TopLayer","RESC0603X03L_C","106.4562","58.6000","0","Resistor, ±1%, 0.05W"
"R43","1M0","TopLayer","RESC0603X03L_C","107.5738","58.6000","180","Resistor, ±1%, 0.05W"
"Q5","UM6X1NA","TopLayer","SOTFL50P162X60-6N","107.0000","54.7500","180","Dual N-Channel MOSFET, Vds = 30V, Vgs(th) = 1.5V, Id = 0.5A, Rds = 750mOhm, Pd = 150mW"
"Q4","UM6X1NA","TopLayer","SOTFL50P162X60-6N","107.0000","60.0000","180","Dual N-Channel MOSFET, Vds = 30V, Vgs(th) = 1.5V, Id = 0.5A, Rds = 750mOhm, Pd = 150mW"
"R13","1M0","TopLayer","RESC0603X03L_C","65.7250","47.8000","0","Resistor, ±1%, 0.05W"
"U2","SKY65943-11","TopLayer","SKY65943-11","134.7470","37.4650","270","GNSS Low-Noise Amplifier Front-End Module with Integrated Pre-Filter and Post-Filter"
"P20","Pin List 1x13","TopLayer","LIST_1x13_SMD","34.0360","45.7210","0","Pin List 1x13, 2.54mm (100mil), SMD"
"P18","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","94.0000","25.0000","0","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"L3","68nH","TopLayer","INDC1005X04L_WW","132.6300","32.6800","0","Inductor, 140mA, ±2%, 1960mO, Q=20"
"C12","39pF","TopLayer","CAPC0603X03L_C","133.1300","29.4800","270","Capacitor, NP0, ±1%, 25V"
"C11","39pF","TopLayer","CAPC0603X03L_C","131.0300","32.6800","0","Capacitor, NP0, ±1%, 25V"
"U7_S2","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","51.4000","18.5000","270","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"TP20","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","11.5824","30.7604","180","1.5mm circular SMD testpad"
"TP19","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","11.0744","33.2762","180","1.5mm circular SMD testpad"
"R75","1M0","TopLayer","RESC0603X03L_C","14.3250","23.5000","90","Resistor, ±1%, 0.05W"
"L2","22nH","TopLayer","INDC0603X03L_C","143.0842","36.5726","270","Chip Inductor"
"L1","1.5nH","TopLayer","INDC0603X03L_C","140.2335","35.1171","0","Inductor, 1000mA, ±0.1nH, 50mOhm"
"C5","4.7µF","TopLayer","CAPC1005X04L","126.2000","32.1000","90","Capacitor, X5R, 10V"
"C14","100pF","TopLayer","CAPC0603X03L_C","134.8000","39.8220","270","Capacitor, NP0, ±2%, 25V"
"C13","39pF","TopLayer","CAPC0603X03L_C","133.1300","33.6816","270","Capacitor, NP0, ±1%, 25V"
"C20","3.5pF","TopLayer","CAPC0603X03L_C","142.5448","35.1170","0","Capacitor, NP0, ±0.1pF, 25V"
"C6","4.7µF","TopLayer","CAPC1005X04L","122.1000","19.0000","0","Capacitor, X5R, 10V"
"R1","10k","TopLayer","RESC0603X03L_C","116.6000","25.8000","0","Resistor, ±1%, 0.05W"
"FB1","22R@100M/6A","TopLayer","INDC1608X06L","116.2000","23.8000","0","Ferrite Bead, 22 Ohm @ 100MHz, 6000mA, 8 mOhm Max"
"TP4","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","35.5600","19.0500","0","1.5mm circular SMD testpad"
"TP6","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","35.5600","16.5100","0","1.5mm circular SMD testpad"
"TP3","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","33.0200","19.0500","0","1.5mm circular SMD testpad"
"TP5","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","33.0200","16.5100","0","1.5mm circular SMD testpad"
"LED4","L0603G","TopLayer","LED_0603_G","110.0000","54.7500","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED3","L0603G","TopLayer","LED_0603_G","104.0000","54.7500","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED2","L0603G","TopLayer","LED_0603_G","110.0000","60.0000","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED1","L0603G","TopLayer","LED_0603_G","104.0000","60.0000","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"J1","MM8130-2600","TopLayer","COAXIAL-SWF","134.5537","18.7000","90","Coaxial Connector with Switch"
"TP24","TP","TopLayer","TESTPAD-TH","98.0000","60.0000","0","Testpoint, through hole"
"C52_S2","100nF","TopLayer","CAPC0603X03L_C","53.6250","18.6000","90","Capacitor, X5R, ±10%"
"P5","Pin Hdr 2x3","TopLayer","HDR_2x3-SMD","64.8970","33.0210","270","Pin Header 2x3, 2.54mm (100mil) SMD"
"P2","Socket 1x6","TopLayer","SOCKET_1x6_SMD","57.1500","7.6210","0","Socket 1x6, 2.54mm (100mil), SMD"
"P1","Socket 1x8","TopLayer","SOCKET_1x8_SMD","36.8300","7.6210","0","Socket 1x8, 2.54mm (100mil), SMD"
"P4","Socket 1x10","TopLayer","SOCKET_1x10_SMD","30.2260","55.8810","180","Socket 1x10, 2.54mm (100mil), SMD"
"P3","Socket 1x8","TopLayer","SOCKET_1x8_SMD","54.6100","55.8810","180","Socket 1x8, 2.54mm (100mil), SMD"
"P19","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","3.8860","59.0306","90","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P28","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm","98.0000","13.7500","0","Pin Header 2x5, 1.27mm (50mil), SMD"
"U8_S9","NX3DV2567","TopLayer","XQFN40P180X260X50-16N","88.1000","18.0500","0","Low-ohmic four-pole double-throw analog switch"
"P22","Pin List 1x4, Angled","TopLayer","LIST_ANG_1x4-SMD-2.54MM","9.5628","44.7790","270","Pin List 1x4, 2.54mm (100mil), Right Angled, SMD"
"Q7","DMC2400UV","TopLayer","SOTFL50P162X60-6N","12.7250","23.5000","0","Dual N & P Ch MOFET, 1.03A/0.7A, 480mOhm, 450mW"
"R17","1M0","TopLayer","RESC0603X03L_C","49.9000","16.3000","270","Resistor, ±1%, 0.05W"
"R42","120R","TopLayer","RESC0603X03L_C","110.6985","53.8684","0","Resistor, ±1%, 0.05W"
"SW5","PB SW","TopLayer","L-KLS7-TS6616B-2.5-160-T","21.1362","4.0000","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.4x2.5mm"
"SW3","PB SW","TopLayer","L-KLS7-TS6616B-2.5-160-T","117.6400","4.0000","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.4x2.5mm"
"SW4","PB SW","TopLayer","L-KLS7-TS6616B-2.5-160-T","128.2900","4.0000","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.4x2.5mm"
"SW1","PB SW","TopLayer","L-KLS7-TS6616B-2.5-160-T","117.6400","13.0000","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.4x2.5mm"
"SW2","PB SW","TopLayer","L-KLS7-TS6616B-2.5-160-T","128.2900","13.0000","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.4x2.5mm"
"P25","Pin Header 2x10, 1.27mm, SWD","TopLayer","HDR_2x10-SMD-1.27mm-K-SWD","78.0000","25.0000","0","Pin Header 2x10, 1.27mm (50mil), SMD, Keying Shroud, Removed Pin 7"
"SB11","Solderbridge","TopLayer","Solderbridge","84.0000","29.2500","0","Solderbridge"
"SB19","Solderbridge","TopLayer","Solderbridge","67.0000","26.2500","0","Solderbridge"
"SB22","Solderbridge","TopLayer","Solderbridge","58.5000","26.2500","270","Solderbridge"
"C52_S1","100nF","TopLayer","CAPC0603X03L_C","67.0000","44.7500","90","Capacitor, X5R, ±10%"
"C48","10nF","TopLayer","CAPC0603X03L_C","86.2750","16.4250","180","Capacitor, X7R, ±10%"
"C53_S9","100nF","TopLayer","CAPC0603X03L_C","88.0000","20.2500","180","Capacitor, X5R, ±10%"
"R39","120R","TopLayer","RESC0603X03L_C","104.6985","59.1184","0","Resistor, ±1%, 0.05W"
"R40","120R","TopLayer","RESC0603X03L_C","110.6985","59.1184","0","Resistor, ±1%, 0.05W"
"R41","120R","TopLayer","RESC0603X03L_C","104.6985","53.8684","0","Resistor, ±1%, 0.05W"
"R69","1M0","TopLayer","RESC0603X03L_C","65.1000","28.5500","180","Resistor, ±1%, 0.05W"
"A1","P822601","TopLayer","P822601","147.9944","33.4020","270","ANTENNA PRESTTA OCTABAND LTE"
"P6","Socket 1x8","TopLayer","SOCKET_1x8_SMD","77.4700","55.8810","180","Socket 1x8, 2.54mm (100mil), SMD"
"Fid1","Fiducial mark","TopLayer","Fiducial","8.3354","62.1040","0","Fiducial Mark"
"SB16","Solderbridge","TopLayer","Solderbridge","9.7500","59.0947","0","Solderbridge"
"SB29","Solderbridge","TopLayer","Solderbridge","13.5250","21.7000","270","Solderbridge"
"TP12","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","32.1291","22.3530","90","1.5mm circular SMD testpad"
"TP13","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","36.9570","24.7660","90","1.5mm circular SMD testpad"
"TP14","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","36.2830","20.6496","90","1.5mm circular SMD testpad"
"TP15","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","36.8300","29.5294","90","1.5mm circular SMD testpad"
"P24","Socket 2x6","TopLayer","SOCKET_2x6_SMD-2.54mm","95.2500","46.9910","270","Socket 2x6, 2.54mm (100mil), SMD"
"Fid2","Fiducial mark","TopLayer","Fiducial","135.8900","61.2140","0","Fiducial Mark"
"TP1","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","129.5000","32.1000","180","1.0mm circular SMD testpad"
"TP2","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","127.7000","32.1000","180","1.0mm circular SMD testpad"
"TP8","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","45.7200","19.0500","0","1.5mm circular SMD testpad"
