Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10201\trunk\production_files\400926_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       11.08.25
Time:       12:47
Revision:   38732
Variant:    Release
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"LOGO2","Segger Logo S","BottomLayer","SEGGER_LOGO_S","-61.9823","-77.1176","270","Segger logo, small size"
"LOGO1","WEE Symbol","BottomLayer","WEEE_3x4.5mm","-61.9823","-77.1176","270","WEEE Directive symbol"
"J2","SMA Edge","TopLayer","CONSMA024-G","142.5000","44.9490","270","SMA Jack, Female, 50 Ohm, Board Edge, Cutout, SMT"
"J1","SMA Edge","TopLayer","CONSMA024-G","142.5000","18.5560","270","SMA Jack, Female, 50 Ohm, Board Edge, Cutout, SMT"
"C11","39pF","TopLayer","CAPC0603X03L_C","133.0300","32.6790","0","Capacitor, NP0, ±1%, 25V"
"C12","39pF","TopLayer","CAPC0603X03L_C","135.2800","29.4790","270","Capacitor, NP0, ±1%, 25V"
"L3","68nH","TopLayer","INDC1005X04L_WW","134.6300","32.6790","0","Inductor, 140mA, ±2%, 1960mO, Q=20"
"C19","N.C.","TopLayer","CAPC0603X03L_C_NC","133.0300","30.8790","0","Not mounted"
"L4","N.C.","TopLayer","INDC1005X04L_NC","134.6300","30.8790","180","Not mounted"
"FB5","0R","TopLayer","RESC2012X11L","21.7270","10.8209","270","Resistor, ±5%, 0.125W"
"C70","100nF","TopLayer","CAPC1608X06L","23.1936","10.8725","270","Chip Cap 0603"
"C69","N.C.","TopLayer","CAPC1608X06L_NC","22.1020","12.8959","180","Not mounted"
"C66","1.0nF","TopLayer","CAPC0603X03L_C","18.0120","13.4959","180","Capacitor, X7R, ±10%, 25V"
"C65","1.0nF","TopLayer","CAPC0603X03L_C","18.0120","14.2959","180","Capacitor, X7R, ±10%, 25V"
"C64","1.0µF","TopLayer","CAPC1005X04L","8.6000","12.2990","0","Capacitor, Ceramic, X5R, ±10%, 10V"
"C62","100nF","TopLayer","CAPC0603X03L_C","13.8250","17.9740","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C57","10µF","TopLayer","CAPC1608X06L","7.1270","15.5709","270","Capacitor, X7T, ±20%, 10V"
"C54","1.0µF","TopLayer","CAPC1608X06L","7.1270","12.9209","90","Capacitor, Ceramic, 1.0µF 10V X5R 0603,±10%"
"R87","0R","TopLayer","RESC0603X03L_C","12.5373","10.7993","0","Resistor, ±5%, 0.05W"
"C59","10µF","TopLayer","CAPC1608X06L","16.8270","17.9083","90","Capacitor, X7T, ±20%, 10V"
"C56","10µF","TopLayer","CAPC1608X06L","16.8270","15.1709","270","Capacitor, X7T, ±20%, 10V"
"C55","10µF","TopLayer","CAPC1608X06L","16.8270","12.6209","90","Capacitor, X7T, ±20%, 10V"
"C60","10µF","TopLayer","CAPC1608X06L","16.1500","10.6990","180","Capacitor, X7T, ±20%, 10V"
"U9","nPM1300-QEAA","TopLayer","Nordic_QFN50P500X500X90-33N","12.5250","14.1740","180","Li-Ion/Li-Polymer USB-C battery charger with high efficiency buck regulators, LDOs or load switches, LED drivers, TWI and VBUSOUT"
"TP21","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","19.8500","10.2490","270","1.5mm circular SMD testpad"
"R37","150k","TopLayer","RESC0603X03L_C","10.7689","18.1062","90","Resistor, ±1%, 0.05W"
"R36","47k","TopLayer","RESC0603X03L_C","10.2000","18.0990","90","Resistor, ±1%, 0.05W"
"R84","4k7","TopLayer","RESC0603X03L_C","11.7369","18.2162","90","Resistor, ±1%, 0.05W"
"R83","4k7","TopLayer","RESC0603X03L_C","12.3369","18.2162","90","Resistor, ±1%, 0.05W"
"L8","2.2µH","TopLayer","INDC2016X10N","18.6250","16.2740","270","Inductor, Irms=2.5A, Isat=2.9A, ±20%, DCR=73mO"
"L7","2.2µH","TopLayer","INDC2016X10N","19.1120","11.9959","180","Inductor, Irms=2.5A, Isat=2.9A, ±20%, DCR=73mO"
"FB6","0R","TopLayer","RESC2012X11L","20.7000","16.0990","270","Resistor, ±5%, 0.125W"
"FB4","0R","TopLayer","RESC2012X11L","8.5270","15.5709","90","Resistor, ±5%, 0.125W"
"C72","100nF","TopLayer","CAPC1608X06L","19.8520","13.9959","0","Chip Cap 0603"
"C71","N.C.","TopLayer","CAPC1608X06L_NC","18.5806","18.5040","180","Not mounted"
"C68","N.C.","TopLayer","CAPC1608X06L_NC","7.8520","17.5959","0","Not mounted"
"C67","1.0nF","TopLayer","CAPC0603X03L_C","6.3270","15.0809","270","Capacitor, X7R, ±10%, 25V"
"U1","ECMF02-4CMX8","TopLayer","UFDFN50P120X250X55-8N","11.6000","32.1990","0","2 Line Common mode filter with ESD protection for USB 2.0 interface, DCRmax = 4Ohm, -40°C ~ 125°C"
"C63","10nF","TopLayer","CAPC1005X04L","8.7000","26.0990","0","Capacitor, X7R, ±10%"
"C61","10nF","TopLayer","CAPC1005X04L","8.9000","37.3990","0","Capacitor, X7R, ±10%"
"C9","1.0µF","TopLayer","CAPC1005X04L","11.9000","34.0990","180","Capacitor, Ceramic, X5R, ±10%, 16V"
"C8","100nF","TopLayer","CAPC0603X03L_C","10.7000","28.9990","180","Capacitor, X5R, ±10%, 100nF, 16V"
"U3","nRF5340-QKAA","TopLayer","AQFN40P700X700X85_HS-99N","24.9250","28.4580","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"P27","Socket 2x6","BottomLayer","SOCKET_2x6_SMD-2.54mm","95.2500","46.9900","270","Socket 2x6, 2.54mm (100mil), SMD"
"LOGO3","Nordic Logo","TopLayer","NORDIC_LOGO_LYING","-61.9823","-77.1176","0","Nordic logo lying"
"C7","10µF","TopLayer","CAPC1608X06L","115.0000","25.5990","180","Capacitor, Ceramic, 10µF 10V X6S 0603,±20%"
"TP23","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","24.7955","21.3785","90","1.5mm circular SMD testpad"
"TP26","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","8.4400","16.5090","270","1.5mm circular SMD testpad"
"TP27","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","6.6040","9.3980","270","1.5mm circular SMD testpad"
"TP25","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","8.3000","13.6990","270","1.5mm circular SMD testpad"
"R3","1M0","TopLayer","RESC0603X03L_C","131.2000","27.0990","180","Resistor, ±1%, 0.05W"
"M1","nRF9151-LACAA1A","TopLayer","LGA50P1210X1110X130-113N","123.6000","25.4990","270","Low power System-in-Package with integrated LTE-M/NB-IoT modem and GPS"
"TP17","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","6.2480","36.3230","180","1.5mm circular SMD testpad"
"R86","100k","TopLayer","RESC0603X03L_C","48.8750","17.8240","90","Resistor, ±1%, 0.05W"
"R85","100k","TopLayer","RESC0603X03L_C","53.6250","19.8990","270","Resistor, ±1%, 0.05W"
"LABEL1","15x40mm","BottomLayer","LabelSilk_15x40","-61.9823","-77.1176","0","PCA version label, stick-on, 15x40mm"
"U7_S11","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","56.4180","44.6490","270","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"R66","1M0","TopLayer","RESC0603X03L_C","56.5000","42.8490","180","Resistor, ±1%, 0.05W"
"C52_S11","100nF","TopLayer","CAPC0603X03L_C","58.9000","44.4490","0","Capacitor, X5R, ±10%, 100nF, 16V"
"TP11","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","23.0000","21.7490","0","1.5mm circular SMD testpad"
"J5","KLS1-SIM-066","TopLayer","KLS1-SIM-066","87.1250","8.5240","0","Nano SIM Card Connector, Push-Push, 6-Pin, H1.37mm, with CD Pin"
"R63","100k","TopLayer","RESC0603X03L_C","91.8000","19.6990","0","Resistor, ±1%, 0.05W"
"U7_S1","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","64.8000","44.6490","270","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"Q2","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","112.0150","16.0990","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW, -55°C ~ 150°C"
"U4","GD25WB256E","TopLayer","SON127P800X80_HS-9N","79.1875","38.3990","90","Quad Serial Flash, 256Mbit, 104MHz, 1.65V - 3.6V"
"Q9","MCM2301-TP","TopLayer","DFN65P200X200X80_HS-6N","3.4000","14.7990","0","Dual P-Channel MOFET, 3.8A, 90mOhm max, 1.4W"
"Q8","MCM2301-TP","TopLayer","DFN65P200X200X80_HS-6N","3.4000","18.0490","0","Dual P-Channel MOFET, 3.8A, 90mOhm max, 1.4W"
"D5","TPD3F303DPVR","TopLayer","SON50P210X160X65_HS-9N","85.2000","18.0490","90","ESD Protection and EMI Filter for SIM Card Interface"
"U7_S10","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","58.5000","23.2490","0","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U7_S6","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","103.4096","27.4830","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U7_S5","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","103.4096","36.2080","0","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U7_S4","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","29.9000","38.0490","90","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U7_S3","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","16.6000","27.4490","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"SB15","Solderbridge","TopLayer","Solderbridge","9.7500","57.2490","0","Solderbridge"
